Title,Year,Rating,Cast,Genre
The Blair Witch Project,1999,86%,"Heather Donahue, Michael C. Williams, Joshua Leonard, Bob Griffith",Horror
The Devil's Candy,2015,92%,"Ethan Embry, Shiri Appleby, Pruitt Taylor Vince, Kiara Glasco",Horror
Gerald's Game,2017,91%,"Carla Gugino, Bruce Greenwood, Henry Thomas, Carel Struycken",Horror
28 Days Later,2002,87%,"Cillian Murphy, Noah Huntley, Naomie Harris, Brendan Gleeson",Horror
Prevenge,2016,91%,"Kate Dickie, Gemma Whelan, Alice Lowe, Kayvan Novak",Horror
Demon,2015,92%,"Itay Tiran, Tomasz Schuchardt, Andrzej Grabowski, Adam Woronowicz",Horror
Horror of Dracula,1958,90%,"Peter Cushing, Christopher Lee, Michael Gough, Melissa Stribling",Horror
Fright Night,1985,92%,"Chris Sarandon, William Ragsdale, Roddy McDowall, Amanda Bearse",Horror
The Wicker Man,1973,88%,"Edward Woodward, Christopher Lee, Britt Ekland, Diane Cilento",Horror
Nina Forever,2015,94%,"Fiona O'Shaughnessy, Abigail Hardingham, Cian Barry, David Troughton",Horror
The Texas Chain Saw Massacre,1974,89%,"Marilyn Burns, Gunnar Hansen, Allen Danziger, Paul A. Partain",Horror
The Conjuring,2013,86%,"Vera Farmiga, Patrick Wilson, Lili Taylor, Ron Livingston",Horror
Misery,1990,90%,"James Caan, Kathy Bates, Frances Sternhagen, Richard Farnsworth",Horror
Village of the Damned,1960,93%,"George Sanders, Barbara Shelley, Michael Gwynne, Laurence Naismith",Horror
Color Out of Space,2019,86%,"Nicolas Cage, Joely Richardson, Tommy Chong, Madeleine Arthur",Horror
Let Me In,2010,88%,"Kodi Smit-McPhee, Chloë Grace Moretz, Richard Jenkins, Cara Buono",Horror
Halloween,2018,79%,"Jamie Lee Curtis, Judy Greer, Andi Matichak, Will Patton",Horror
Theatre of Blood,1973,94%,"Vincent Price, Diana Rigg, Robert Morley, Ian Hendry",Horror
Attack the Block,2011,90%,"John Boyega, Jodie Whittaker, Alex Esmail, Leeon Jones",Horror
Eraserhead,1977,90%,"John Nance, Charlotte Stewart, Allen Joseph, Jeanne Bates",Horror
The Devil's Backbone,2001,92%,"Marisa Paredes, Eduardo Noriega, Federico Luppi, Fernando Tielve",Horror
Housebound,2014,96%,"Morgana O'Reilly, Rima Te Wiata, Glen-Paul Waru, Cameron Rhodes",Horror
We Are Still Here,2015,95%,"Barbara Crampton, Andrew Sensenig, Lisa Marie, Larry Fessenden",Horror
The Bird With the Crystal Plumage,1970,93%,"Tony Musante, Suzy Kendall, Eva Renzi, Enrico Maria Salerno",Horror
The Phantom of the Opera,1925,90%,"Lon Chaney, Mary Philbin, Norman Kerry, Arthur Edmund Carewe",Horror
The Wolf Man,1941,90%,"Lon Chaney, Claude Rains, Ralph Bellamy, Evelyn Ankers",Horror
Dawn of the Dead,1978,92%,"David Emge, Ken Foree, Gaylen Ross, Scott H. Reiniger",Horror
Dr. Jekyll and Mr. Hyde,1931,90%,"Fredric March, Miriam Hopkins, Rose Hobart, Holmes Herbert",Horror
Shaun of the Dead,2004,92%,"Simon Pegg, Kate Ashfield, Lucy Davis, Nick Frost",Horror
The Endless,2017,92%,"Aaron Moorhead, Justin Benson, Callie Hernandez, Tate Ellington",Horror
Don't Breathe,2016,88%,"Jane Levy, Dylan Minnette, Daniel Zovatto, Stephen Lang",Horror
Re-Animator,1985,94%,"Jeffrey Combs, Bruce Abbott, Barbara Crampton, David Gale",Horror
Zombieland,2009,89%,"Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin",Horror
It Comes at Night,2017,87%,"Joel Edgerton, Christopher Abbott, Carmen Ejogo, Riley Keough",Horror
The Shining,1980,85%,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers",Horror
Dracula,1931,94%,"Bela Lugosi, Edward Van Sloan, Dwight Frye, David Manners",Horror
Deep Red,1975,93%,"David Hemmings, Daria Nicolodi, Gabriele Lavia, Clara Calamai",Horror
The Fly,1986,93%,"Jeff Goldblum, Geena Davis, John Getz, Joy Boushel",Horror
A Nightmare on Elm Street,1984,95%,"John Saxon, Ronee Blakley, Heather Langenkamp, Amanda Wyss",Horror
The Mummy,1932,89%,"Boris Karloff, Zita Johann, David Manners, Edward Van Sloan",Horror
The Host,2006,93%,"Song Kang-ho, Byun Hee-bong, Park Hae-il, Bae Doo-na",Horror
The Cat and the Canary,1927,96%,"Laura La Plante, Creighton Hale, Forrest Stanley, Tully Marshall",Horror
Train to Busan,2016,94%,"Gong Yoo, Ma Dong-seok, Choi Woo-sik, Kim Eui-sung",Horror
